title,category,emotion,url
삼겹살,korean,"many_time,perfect,fatty",https://img.piku.co.kr/w/uploads/7zd4dE/11495281c61832b6edf5186158c84c70.jpg
스테이크,western,"many_time,perfect",https://img.piku.co.kr/w/uploads/7zd4dE/39364905c56bd58985be5875ac39177f.jpg
초밥,japanese,perfect,https://img.piku.co.kr/w/uploads/7zd4dE/47871e958c6560c91a484bc34e023bb7.jpg
곱창,korean,"many_time,perfect,fatty",https://img.piku.co.kr/w/uploads/7zd4dE/411dfc984ffa573e70e5de9351d0e228.jpg
대게찜,korean,"many_time,perfect",https://img.piku.co.kr/w/uploads/7zd4dE/77413ed4d1f62152bac35a978a6a62d7.jpg
후라이드치킨,korean,"stressed,fatty",https://img.piku.co.kr/w/uploads/7zd4dE/b4272ee83e13e7ff685fdaa28a5a9ff9.jpg
라면,snack,no_time,https://img.piku.co.kr/w/uploads/7zd4dE/e92ee0f1e2fcde70eb10e0dd0803151b.jpg
회,korean,"many_time,perfect",https://img.piku.co.kr/w/uploads/7zd4dE/b8b4e434e7e6fde5bd1a4ab34519ab9b.jpg
소갈비,korean,"many_time,perfect",https://img.piku.co.kr/w/uploads/7zd4dE/81b6226e2ec0ef368c3a5b1f1e5cd74c.jpg
떡순튀,snack,no_time,https://img.piku.co.kr/w/uploads/7zd4dE/dc71fad32214f3532625c4990be1b907.jpg
김치찌개,korean,stressed,https://img.piku.co.kr/w/uploads/7zd4dE/8924a9f955589b6e2d96de6c6c3cc8ad.jpg
랍스터버터구이,western,"many_time,perfect",https://img.piku.co.kr/w/uploads/7zd4dE/d09cbdfb231715160e4f916d4da0f52d.jpg
간장게장,korean,"many_time,perfect",https://img.piku.co.kr/w/uploads/7zd4dE/c64a6fce311d02580d3aeafca6b7a9ea.jpg
보쌈,korean,"many_time,perfect",https://img.piku.co.kr/w/uploads/7zd4dE/dd829662baf58916e547b91f3a8097f8.jpg
양념치킨,korean,"stressed,fatty",https://img.piku.co.kr/w/uploads/7zd4dE/8e6cec81b79b2ee96662e5ab9327b350.jpg
육회,korean,"many_time,perfect",https://img.piku.co.kr/w/uploads/7zd4dE/a473e6ea3568934e782501849950156a.jpg
감자탕,korean,"many_time,perfect",https://img.piku.co.kr/w/uploads/7zd4dE/92ef8ef5c7fdc2cb51c7693a0073a7df.jpg
부대찌개,korean,"many_time,perfect",https://img.piku.co.kr/w/uploads/7zd4dE/9c4295000947675979e30acc9e7fd429.jpg
샤브샤브,japanese,"many_time,perfect",https://img.piku.co.kr/w/uploads/7zd4dE/d1a13269165c37f2c53d6317bd348d68.jpg
햄버거,western,no_time,https://img.piku.co.kr/w/uploads/7zd4dE/17d6f75839f73500b2f7d6291e30a3eb.jpg
닭갈비,korean,"many_time,perfect",https://img.piku.co.kr/w/uploads/7zd4dE/fa16e063c7f094fd6550d7d505117987.jpg
수육국밥,korean,no_time,https://img.piku.co.kr/w/uploads/7zd4dE/2810a42561ef2717b1ec99edd9f83258.jpg
김치볶음밥,korean,no_time,https://img.piku.co.kr/w/uploads/7zd4dE/70bbdb6b19854d5a2ff3fa4c71d7be2a.jpg
